,mean
673,5448.0
674,3689.608108108108
675,3930.756097560976
676,4980.233333333334
677,4737.666666666667
678,6043.918918918919
679,4119.753424657534
680,6362.930555555556
681,4125.791666666667
682,6561.333333333333
683,7893.625
684,3553.942857142857
685,5404.622222222222
686,5276.162790697675
687,4137.9
688,4055.2972972972975
689,4020.034965034965
690,5784.096774193548
691,5993.076923076923
692,3910.7625
693,4623.842975206611
694,6499.762711864407
695,3756.3333333333335
696,4373.060810810811
697,4845.9607843137255
698,4496.3983050847455
699,5470.594202898551
700,3624.590909090909
701,3995.5625
702,4921.908045977011
703,4633.9537037037035
704,6268.657142857143
705,4113.971014492754
706,6615.857142857143
707,4151.732394366197
708,6415.4
709,7178.090909090909
710,3533.212121212121
711,5409.851063829788
712,5044.1578947368425
713,4183.1274509803925
714,4354.4358974358975
715,3886.3380281690143
716,5731.446153846154
717,6181.45
718,3861.873015873016
719,4702.30303030303
720,6466.090909090909
721,3696.9591836734694
722,4457.189393939394
723,4809.948717948718
724,4469.03125
725,5011.225
726,3611.3503649635036
727,3866.9754098360654
728,5176.729166666667
729,4564.759615384615
730,6318.8536585365855
731,4101.718309859155
732,6569.256097560976
733,4241.073170731707
734,7070.333333333333
735,7610.6
736,3540.5
737,5708.0
738,4932.301886792453
739,4208.277227722772
740,4212.677419354839
741,3880.0123456790125
742,5671.859154929577
743,6121.0
744,3959.0508474576272
745,4636.271844660194
746,6912.0
747,3705.5
748,4336.038961038961
749,4826.090909090909
750,4589.106870229008
751,5216.453125
752,3622.0194805194806
753,3924.5839416058393
754,5066.020202020202
755,4681.32
756,6144.8490566037735
757,4151.584615384615
758,6446.590909090909
759,3940.3617021276596
760,6424.2
761,7827.714285714285
762,3550.525
763,6305.194444444444
764,5133.982456140351
765,4265.308641975309
766,4421.487804878048
767,3814.7709923664124
768,5617.642857142857
769,5983.538461538462
770,3995.2708333333335
771,4525.5
772,6516.727272727273
773,3671.904761904762
774,4280.971830985915
775,4826.09375
776,4485.159292035398
777,5467.388059701492
778,3663.3046875
779,3964.9607843137255
780,4882.96511627907
781,4583.774193548387
782,6295.787878787879
783,4163.179104477612
784,6378.931818181818
785,4180.076923076923
786,6132.0
787,7245.363636363636
788,3523.108108108108
789,5089.0
790,5101.4375
791,4142.80303030303
792,4267.866666666667
793,3961.4338235294117
794,5584.933333333333
795,6185.777777777777
796,3980.96
797,4461.21875
798,6682.0
799,3700.3166666666666
800,4357.237410071943
801,4666.317073170731
802,4406.925925925926
803,5778.333333333333
804,3646.2587412587413
805,3941.633663366337
806,5050.747126436781
807,4719.560344827586
808,5876.675
809,4150.64406779661
810,6112.771428571428
811,4023.777777777778
812,6281.0
813,7688.055555555556
814,3599.786666666667
815,5554.863636363636
816,4893.555555555556
817,4181.24
818,4413.704545454545
819,3956.284810126582
820,5440.746268656716
821,6630.333333333333
822,3890.843137254902
823,4541.238805970149
824,6596.42
825,3651.58
826,4250.177304964539
827,4865.317073170731
828,4484.603603603604
829,5713.021505376344
830,3617.7123287671234
831,3943.818897637795
832,4794.602739726028
833,4666.632653061224
834,5945.684210526316
835,4235.78431372549
836,6660.2835820895525
837,4218.627118644068
838,6455.7
839,7942.083333333333
840,3502.285714285714
841,5629.242424242424
842,4969.35
843,3990.6923076923076
844,4353.757575757576
845,3862.9
846,5965.210526315789
847,5929.625
848,3883.470588235294
849,4547.5615384615385
850,6503.518518518518
851,3724.5135135135133
852,4270.515625
853,4935.148936170212
854,4525.776595744681
855,6094.105263157895
856,3552.1641791044776
857,3938.019801980198
858,4724.215189873417
859,4673.631067961165
860,5941.809523809524
861,4058.5774647887324
862,6685.725
863,4061.5538461538463
864,6144.333333333333
865,7122.857142857143
866,3452.6065573770493
867,5531.388888888889
868,5111.959183673469
869,4158.851851851852
870,4469.255319148936
871,3852.1052631578946
872,5365.641509433963
873,5937.909090909091
874,3987.296296296296
875,4609.863636363636
876,6278.045454545455
877,3675.8333333333335
878,4278.953846153846
879,5011.433333333333
880,4488.198113207547
881,5733.679487179487
882,3554.3284671532847
883,3812.16
884,4802.75
885,4698.618644067797
886,5980.117647058823
887,4049.6625
888,6537.506172839506
889,4115.533333333334
890,6492.75
891,7183.8125
892,3552.190476190476
893,5251.558823529412
894,5118.836065573771
895,4135.139240506329
896,4358.320754716981
897,3817.9151515151516
898,5459.731343283582
899,6245.583333333333
900,3891.4137931034484
901,4655.851063829788
902,6659.442307692308
903,3656.439024390244
904,4269.808
905,4937.289473684211
906,4417.192307692308
907,5858.215053763441
908,3555.6875
909,3827.672727272727
910,4749.296875
911,4671.0888888888885
912,6299.527777777777
913,4078.7454545454543
914,6724.620689655172
915,4064.6393442622953
916,6366.166666666667
917,6968.833333333333
918,3513.8630136986303
919,5463.037037037037
920,5223.115384615385
921,4017.3835616438355
922,4319.648648648648
923,3889.4117647058824
924,5473.2835820895525
925,5881.5
926,3880.2954545454545
927,4626.984126984127
928,6819.861111111111
929,3657.6279069767443
930,4290.6488549618325
931,4805.925925925926
932,4509.490740740741
933,5902.309523809524
934,3543.4660194174758
935,3844.064516129032
936,4644.909090909091
937,4665.067796610169
938,5739.117647058823
939,4155.513513513513
940,6513.8125
941,4210.342857142857
942,6676.75
943,7569.692307692308
944,3446.3846153846152
945,5137.0526315789475
946,5427.68
947,4250.375
948,4249.15
949,3802.225352112676
950,5630.545454545455
951,6078.875
952,3904.206896551724
953,4683.878048780488
954,6029.806451612903
955,3666.9615384615386
956,4178.256097560976
957,4732.5
958,4418.789473684211
959,5500.291666666667
960,3637.219178082192
961,3822.4861111111113
962,4520.7555555555555
963,4650.869565217391
964,6099.875
965,4045.586956521739
966,5927.024390243902
967,3982.0
968,6649.333333333333
969,8220.3
970,3441.32
971,5770.5161290322585
972,5165.241379310345
973,4064.137931034483
974,4516.259259259259
975,3756.3936170212764
976,5462.586206896552
977,6051.25
978,4055.9285714285716
979,4663.9670329670325
980,6727.833333333333
981,3598.3870967741937
982,4218.955056179775
983,4953.9375
984,4511.9384615384615
985,5281.729166666667
986,3554.9883720930234
987,3795.025974025974
988,4915.009615384615
989,4766.774193548387
990,6072.0526315789475
991,4071.051948051948
992,6271.819444444444
993,4080.457142857143
994,6558.4
995,8054.333333333333
996,3444.402985074627
997,5785.325
998,5485.585365853659
999,4156.941176470588
1000,4366.288888888889
1001,3833.3947368421054
1002,5579.413793103448
1003,6349.066666666667
1004,3864.4423076923076
1005,4577.0921052631575
1006,6875.271186440678
1007,3497.095238095238
1008,4202.496402877698
1009,4622.982758620689
1010,4510.161904761905
1011,5913.931506849315
1012,3528.1129032258063
1013,3756.31914893617
1014,5031.930693069307
1015,4461.126213592233
1016,6139.542857142857
1017,3961.8315789473686
1018,6412.202531645569
1019,4113.523809523809
1020,6451.666666666667
1021,7388.1875
1022,3428.1294117647058
1023,5261.454545454545
1024,5010.239130434783
1025,4111.08
1026,4354.585365853659
1027,3838.1729323308273
1028,5321.905660377359
1029,6032.909090909091
1030,3994.0
1031,4558.887096774193
1032,6650.631578947368
1033,3534.5
1034,4331.8230088495575
1035,4769.882352941177
1036,4440.448
1037,5844.4
1038,3527.6377952755906
1039,3767.577319587629
1040,4847.985074626866
1041,4740.112359550561
1042,5933.242424242424
1043,3966.8571428571427
1044,6732.819672131148
1045,4007.688311688312
1046,5781.0
1047,7258.75
1048,3478.0714285714284
1049,5351.358974358975
1050,4824.575757575758
1051,4105.211764705882
1052,4380.486486486487
1053,3930.793103448276
1054,5844.551020408163
1055,5793.0
1056,4006.4
1057,4661.762589928057
1058,6932.866666666667
1059,3591.759259259259
1060,4284.213793103449
1061,4704.114285714286
1062,4588.908496732026
1063,5637.895833333333
1064,3503.4435483870966
1065,3766.6451612903224
1066,4796.176470588235
1067,4569.634408602151
1068,5986.938775510204
1069,4025.5945945945946
1070,6341.159090909091
1071,3980.573529411765
1072,6328.714285714285
1073,8084.6875
1074,3417.6530612244896
1075,5704.473684210527
1076,5560.09756097561
1077,4082.4555555555557
1078,4249.539682539683
1079,3835.6708860759495
1080,5794.272727272727
1081,6235.928571428572
1082,3900.7903225806454
1083,4649.191489361702
1084,7052.790697674419
1085,3571.531914893617
1086,4258.2972972972975
1087,4810.1875
1088,4452.3671875
1089,5554.6760563380285
1090,3539.6319444444443
1091,3770.2
1092,4887.728813559322
1093,4547.744360902256
1094,5650.325581395349
1095,3939.688888888889
1096,6538.10101010101
1097,4096.454545454545
1098,6503.0
1099,7188.692307692308
1100,3455.59595959596
1101,5182.833333333333
1102,5029.714285714285
1103,4159.6621621621625
1104,4419.88524590164
1105,3824.0260416666665
1106,5315.074074074074
1107,5975.2
1108,4002.230769230769
1109,4643.079365079365
1110,6574.235294117647
1111,3553.901234567901
1112,4287.878048780488
1113,4776.82
1114,4534.798780487805
1115,5894.180722891566
1116,3551.4467005076144
1117,3743.6046511627906
1118,4752.3917525773195
1119,4438.971698113208
1120,5871.5
1121,3974.84
1122,6574.888888888889
1123,4043.9848484848485
1124,6544.0
1125,6770.764705882353
1126,3486.060975609756
1127,5417.261904761905
1128,5042.282608695652
1129,4194.18556701031
1130,4456.948717948718
1131,3643.7716049382716
1132,5426.3125
1133,6406.866666666667
1134,4008.0461538461536
1135,4704.710144927536
1136,6619.307692307692
1137,3624.6470588235293
1138,4348.175141242938
1139,4704.1
1140,4505.925373134329
1141,5780.173913043478
1142,3601.7105263157896
1143,3723.784722222222
1144,4646.768292682927
1145,4447.3564356435645
1146,6107.021739130435
1147,3920.3118279569894
1148,6239.3421052631575
1149,4073.8939393939395
1150,5941.0
1151,7861.9
1152,3402.0731707317073
1153,4970.666666666667
1154,5156.744680851064
1155,4152.736363636363
1156,4259.98
1157,3713.17880794702
1158,5207.851063829788
1159,6401.923076923077
1160,4004.4776119402986
1161,4680.585714285714
1162,6330.086206896552
1163,3597.730769230769
1164,4356.198630136986
1165,4822.076923076923
1166,4426.417391304348
1167,5290.015625
1168,3492.890243902439
1169,3795.5087719298244
1170,4757.0344827586205
1171,4563.723214285715
1172,5871.916666666667
1173,3840.025974025974
1174,6181.878048780488
1175,4114.762711864407
1176,6449.166666666667
1177,6847.692307692308
1178,3418.6631578947367
1179,5439.363636363636
1180,4968.243243243243
1181,4177.141414141414
1182,4196.682926829269
1183,3710.6540880503144
1184,5827.815384615385
1185,6112.875
1186,3974.0227272727275
1187,4769.803278688524
1188,6567.567164179104
1189,3525.8076923076924
1190,4412.721804511279
1191,4767.177777777778
1192,4474.5084745762715
1193,5275.567164179104
1194,3466.4972067039107
1195,3808.806896551724
1196,4646.147727272727
1197,4540.4111111111115
1198,5949.757575757576
1199,3785.3174603174602
1200,6449.077922077922
1201,4047.5714285714284
1202,6239.25
1203,7903.416666666667
1204,3523.443181818182
1205,5495.585365853659
1206,5422.294117647059
1207,4215.0123456790125
1208,4187.131578947368
1209,3748.007462686567
1210,5541.66037735849
1211,5827.5
1212,3935.4423076923076
1213,4670.646551724138
1214,6265.54347826087
1215,3679.0169491525426
1216,4342.0
1217,4690.675675675676
1218,4479.243902439024
1219,5574.438596491228
1220,3522.375
1221,3720.413223140496
1222,4822.0
1223,4564.011111111111
1224,5688.421052631579
1225,3902.725490196078
1226,6404.585714285714
1227,4129.86
1228,6562.75
1229,7413.428571428572
1230,3488.0153846153844
1231,5092.068965517241
1232,5010.1
1233,4179.457627118644
1234,4281.925925925926
1235,3649.27
1236,5364.717948717948
1237,6340.25
1238,3970.9285714285716
1239,4797.446601941748
1240,6546.15
1241,3612.529411764706
1242,4324.268518518518
1243,4865.733333333334
1244,4430.135802469136
1245,4941.416666666667
1246,3479.76
1247,3847.7157894736843
1248,4448.5675675675675
1249,4570.658536585366
