,month,town,resale_price
4154,2017-04-01,ANG MO KIO,475000
4155,2017-04-01,ANG MO KIO,498000
4156,2017-04-01,ANG MO KIO,499000
4157,2017-04-01,ANG MO KIO,540000
4158,2017-04-01,ANG MO KIO,655000
4159,2017-04-01,ANG MO KIO,667000
4160,2017-04-01,ANG MO KIO,668000
4161,2017-04-01,ANG MO KIO,700000
4162,2017-04-01,ANG MO KIO,715000
4163,2017-04-01,ANG MO KIO,470000
4164,2017-04-01,ANG MO KIO,508000
4165,2017-04-01,ANG MO KIO,545000
4166,2017-04-01,ANG MO KIO,560000
4167,2017-04-01,ANG MO KIO,570000
4168,2017-04-01,ANG MO KIO,588000
4169,2017-04-01,ANG MO KIO,596888
4170,2017-04-01,ANG MO KIO,615000
4171,2017-04-01,ANG MO KIO,625000
4172,2017-04-01,ANG MO KIO,628000
4173,2017-04-01,ANG MO KIO,635000
4174,2017-04-01,ANG MO KIO,635000
4175,2017-04-01,ANG MO KIO,790000
4176,2017-04-01,ANG MO KIO,808000
4177,2017-04-01,ANG MO KIO,840000
4178,2017-04-01,ANG MO KIO,770000
5899,2017-05-01,ANG MO KIO,210000
5900,2017-05-01,ANG MO KIO,235000
5901,2017-05-01,ANG MO KIO,255000
5902,2017-05-01,ANG MO KIO,250000
5903,2017-05-01,ANG MO KIO,255000
5904,2017-05-01,ANG MO KIO,264000
5905,2017-05-01,ANG MO KIO,271000
5906,2017-05-01,ANG MO KIO,272000
5907,2017-05-01,ANG MO KIO,275000
5908,2017-05-01,ANG MO KIO,280000
5909,2017-05-01,ANG MO KIO,280000
5910,2017-05-01,ANG MO KIO,282000
5911,2017-05-01,ANG MO KIO,288000
5912,2017-05-01,ANG MO KIO,290000
5913,2017-05-01,ANG MO KIO,290000
5914,2017-05-01,ANG MO KIO,290000
5915,2017-05-01,ANG MO KIO,290000
5916,2017-05-01,ANG MO KIO,290000
5917,2017-05-01,ANG MO KIO,295000
5918,2017-05-01,ANG MO KIO,295000
5919,2017-05-01,ANG MO KIO,295000
5920,2017-05-01,ANG MO KIO,295000
5921,2017-05-01,ANG MO KIO,300000
5922,2017-05-01,ANG MO KIO,300000
5923,2017-05-01,ANG MO KIO,300000
5924,2017-05-01,ANG MO KIO,300000
5925,2017-05-01,ANG MO KIO,303000
5926,2017-05-01,ANG MO KIO,305000
5927,2017-05-01,ANG MO KIO,305000
5928,2017-05-01,ANG MO KIO,305000
5929,2017-05-01,ANG MO KIO,305000
5930,2017-05-01,ANG MO KIO,308000
5931,2017-05-01,ANG MO KIO,310000
5932,2017-05-01,ANG MO KIO,315000
5933,2017-05-01,ANG MO KIO,318000
5934,2017-05-01,ANG MO KIO,318000
5935,2017-05-01,ANG MO KIO,328000
5936,2017-05-01,ANG MO KIO,328000
5937,2017-05-01,ANG MO KIO,335000
5938,2017-05-01,ANG MO KIO,338000
5939,2017-05-01,ANG MO KIO,339000
5940,2017-05-01,ANG MO KIO,340000
5941,2017-05-01,ANG MO KIO,340000
5942,2017-05-01,ANG MO KIO,345000
5943,2017-05-01,ANG MO KIO,345000
5944,2017-05-01,ANG MO KIO,350000
5945,2017-05-01,ANG MO KIO,362000
5946,2017-05-01,ANG MO KIO,367000
5947,2017-05-01,ANG MO KIO,370000
5948,2017-05-01,ANG MO KIO,370000
5949,2017-05-01,ANG MO KIO,398000
5950,2017-05-01,ANG MO KIO,450000
5951,2017-05-01,ANG MO KIO,465000
5952,2017-05-01,ANG MO KIO,470000
5953,2017-05-01,ANG MO KIO,470000
5954,2017-05-01,ANG MO KIO,323000
5955,2017-05-01,ANG MO KIO,380000
5956,2017-05-01,ANG MO KIO,388000
5957,2017-05-01,ANG MO KIO,416000
5958,2017-05-01,ANG MO KIO,425000
5959,2017-05-01,ANG MO KIO,430000
5960,2017-05-01,ANG MO KIO,448000
5961,2017-05-01,ANG MO KIO,450000
5962,2017-05-01,ANG MO KIO,450000
5963,2017-05-01,ANG MO KIO,455000
5964,2017-05-01,ANG MO KIO,455000
5965,2017-05-01,ANG MO KIO,463000
5966,2017-05-01,ANG MO KIO,470000
5967,2017-05-01,ANG MO KIO,490000
5968,2017-05-01,ANG MO KIO,600000
5969,2017-05-01,ANG MO KIO,605000
5970,2017-05-01,ANG MO KIO,615000
5971,2017-05-01,ANG MO KIO,630000
5972,2017-05-01,ANG MO KIO,685000
